nombre,X,Y
PASO DE LA PATRIA,-58.577243,-27.311679
BOUVIER,-57.580521,-25.460568
EL COLORADO,-59.373920,-26.307520
LIBERTAD,-54.615627,-25.913282
ITUZAINGO,-56.683105,-27.583899
POSADAS,-55.898869,-27.379675
SAN JAVIER,-55.135132,-27.874508
ITA IBATE,-57.337852,-27.428772
EMPEDRADO,-58.799068,-27.945627
CORRIENTES,-58.827129,-27.470055
SANTO TOME,-56.044014,-28.551468
PASO DE LOS LIBRES,-57.092052,-29.711752
ALVEAR,-56.547436,-29.093004
ESQUINA,-59.526451,-30.013741
GOYA,-59.335403,-29.168227
EL SOBERBIO,-54.199967,-27.297104
SAUZALITO,-61.684463,-24.425058
FORMOSA,-58.154538,-26.190548
IGUAZU,-54.572353,-25.610443
ISLA DEL CERRITO,-58.619095,-27.291672
LAS PALMAS,-58.646406,-27.118696
MONTE CASEROS,-57.635179,-30.252983
BERMEJO,-58.507004,-26.927147
BARRANQUERAS,-58.926382,-27.486687
EMBARCACION,-64.095955,-23.207331
ANDRESITO,-53.996939,-25.591862
LAVALLE,-60.132934,-25.658672
AGUAS BLANCAS,-64.354114,-22.735694
POZO HONDO,-62.518039,-22.376854
CÁCERES,-57.702055,-16.075925
BAHÍA NEGRA,-58.167152,-20.235024
MURTINHO,-57.891915,-21.698951
VALLEMI,-57.957039,-22.155408
CONCEPCIÓN,-57.454136,-23.407534
ASUNCIÓN,-57.644604,-25.273910
CAPANEMA,-53.491231,-25.541818
ITAIPÚ,-54.598637,-25.413719
ITATI,-58.237490,-27.270328
ALARACHE,-64.533542,-22.273417
VELAZ,-58.635376,-26.661255
